"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"1",0.053,0.001,0.025,0.175,0.746
"2",0.733,0,0.003,0.246,0.018
"3",0.471,0,0.007,0.124,0.398
"4",0.153,0.002,0.035,0.215,0.595
"5",0.47,0,0.003,0.499,0.028
"6",0.245,0,0.014,0.63,0.111
"7",0.313,0.019,0.303,0.136,0.229
"8",0.647,0.001,0.022,0.049,0.281
"9",0.83,0,0.001,0.099,0.07
"10",0.674,0,0.026,0.268,0.032
"11",0.694,0,0.003,0.112,0.191
"12",0.006,0,0.135,0.236,0.623
"13",0.825,0,0.006,0.042,0.127
"14",0.885,0,0,0.011,0.104
"15",0.882,0,0.005,0.087,0.026
"16",0.842,0,0,0.088,0.07
"17",0.439,0,0.009,0.456,0.096
"18",0.575,0,0.005,0.394,0.026
"19",0.316,0.007,0.001,0.238,0.438
"20",0.007,0.005,0.215,0.008,0.765
"21",0.722,0,0.009,0.162,0.107
"22",0,0,0.019,0,0.981
"23",0.716,0,0.007,0.074,0.203
"24",0,0,0.027,0,0.973
"25",0.619,0.001,0.013,0.126,0.241
"26",0.15,0.017,0.2,0.019,0.614
"27",0.955,0,0,0.005,0.04
"28",0.023,0.05,0.229,0.022,0.676
"29",0.691,0,0.023,0.266,0.02
"30",0.435,0.001,0.007,0.49,0.067
"31",0.257,0.002,0.021,0.187,0.533
"32",0.834,0,0,0.08,0.086
"33",0.263,0.001,0.089,0.061,0.586
"34",0.934,0.023,0.002,0.03,0.011
"35",0.251,0.001,0.009,0.003,0.736
"36",0.587,0,0.013,0.301,0.099
"37",0.05,0.008,0.047,0.01,0.885
"38",0.93,0,0,0.043,0.027
"39",0.261,0.004,0.029,0.583,0.123
"40",0.388,0.002,0.014,0.065,0.531
"41",0.129,0,0.035,0.318,0.518
"42",0,0.009,0.002,0,0.989
"43",0.17,0,0,0.012,0.818
"44",0.002,0.04,0.007,0,0.951
"45",0.173,0.023,0.23,0.034,0.54
"46",0.591,0.001,0.007,0.058,0.343
"47",0.373,0.005,0.03,0.244,0.348
"48",0.515,0,0.012,0.241,0.232
"49",0.473,0,0.004,0.332,0.191
"50",0.058,0.003,0.057,0.242,0.64
"51",0.228,0.042,0.033,0.014,0.683
"52",0.139,0,0.051,0.704,0.106
"53",0.969,0,0,0.004,0.027
"54",0.164,0.012,0.09,0,0.734
"55",0.004,0.022,0.379,0.005,0.59
"56",0.537,0,0.06,0.093,0.31
"57",0.386,0,0,0.608,0.006
"58",0,0.006,0.004,0,0.99
"59",0,0.003,0.004,0,0.993
"60",0.817,0,0.001,0.05,0.132
"61",0.805,0,0.023,0.031,0.141
"62",0.15,0,0.14,0.602,0.108
"63",0.563,0,0.006,0.173,0.258
"64",0,0.002,0.006,0,0.992
"65",0,0.002,0,0,0.998
"66",0.805,0,0.004,0.169,0.022
"67",0.982,0,0,0.003,0.015
"68",0.153,0.003,0.101,0.288,0.455
"69",0.483,0.001,0.019,0.383,0.114
"70",0,0,0,0,1
"71",0.011,0.012,0.027,0.049,0.901
"72",0.982,0,0,0.009,0.009
"73",0,0.003,0.027,0,0.97
"74",0.381,0,0.019,0.273,0.327
"75",0.001,0.014,0.032,0.002,0.951
"76",0.367,0.072,0.194,0.017,0.35
"77",0.81,0,0.001,0.008,0.181
"78",0.05,0.001,0.072,0.014,0.863
"79",0.438,0,0.028,0.377,0.157
"80",0.968,0,0.002,0.018,0.012
"81",0,0.001,0.042,0,0.957
"82",0,0,0.002,0,0.998
"83",0.647,0,0.008,0.301,0.044
"84",0,0.01,0.067,0,0.923
"85",0.357,0,0.036,0.516,0.091
"86",0.046,0.022,0.178,0,0.754
"87",0.073,0.004,0.26,0.49,0.173
"88",0.687,0,0.032,0.149,0.132
"89",0.002,0.005,0.13,0.005,0.858
"90",0.62,0,0,0.003,0.377
"91",0.005,0.002,0.132,0.001,0.86
"92",0,0,0.09,0,0.91
"93",0.884,0,0.003,0.006,0.107
"94",0.387,0,0.019,0.422,0.172
"95",0.023,0.008,0.019,0.009,0.941
"96",0.607,0,0.006,0.26,0.127
"97",0.301,0,0.012,0.486,0.201
"98",0,0,0.002,0,0.998
"99",0.401,0.02,0.016,0.008,0.555
"100",0.376,0.002,0.013,0.372,0.237
"101",0.849,0,0.001,0.006,0.144
"102",0.907,0,0.002,0.043,0.048
"103",0.203,0,0.066,0.43,0.301
"104",0.547,0.001,0.036,0.183,0.233
"105",0.447,0.002,0.004,0.348,0.199
"106",0.685,0.001,0.029,0.13,0.155
"107",0.464,0.004,0.012,0.477,0.043
"108",0.038,0.002,0.072,0.271,0.617
"109",0.962,0,0.001,0.013,0.024
"110",0.328,0.002,0.021,0.208,0.441
"111",0.344,0,0.009,0.571,0.076
"112",0.529,0,0.019,0.146,0.306
"113",0.368,0.002,0.058,0.464,0.108
"114",0.286,0,0.033,0.539,0.142
"115",0,0.003,0.02,0,0.977
"116",0.578,0,0.001,0.107,0.314
"117",0.799,0,0.004,0.156,0.041
"118",0.012,0,0.166,0.366,0.456
"119",0.164,0.006,0.07,0.623,0.137
"120",0.519,0.016,0.072,0.064,0.329
"121",0.817,0,0,0,0.183
"122",0.837,0,0.006,0.01,0.147
"123",0.994,0,0,0.004,0.002
"124",0,0.016,0,0,0.984
"125",0.01,0.006,0.028,0.009,0.947
"126",0.844,0,0,0.101,0.055
"127",0.026,0.004,0.187,0.012,0.771
"128",0.912,0,0.001,0.023,0.064
"129",0.998,0,0,0.002,0
"130",0.935,0,0.001,0.048,0.016
"131",0.314,0,0.003,0.661,0.022
"132",1,0,0,0,0
